Driver,LapNumber,LapTimeSeconds,Compound,Stint,IsPitIn,IsPitOut
VER,1.0,99.51,MEDIUM,1.0,False,False
VER,2.0,114.938,MEDIUM,1.0,False,False
VER,3.0,98.051,MEDIUM,1.0,False,False
VER,4.0,89.504,MEDIUM,1.0,False,False
VER,5.0,89.813,MEDIUM,1.0,False,False
VER,6.0,89.412,MEDIUM,1.0,False,False
VER,7.0,89.885,MEDIUM,1.0,False,False
VER,8.0,89.824,MEDIUM,1.0,False,False
VER,9.0,89.445,MEDIUM,1.0,False,False
VER,10.0,90.449,MEDIUM,1.0,False,False
VER,11.0,90.395,MEDIUM,1.0,False,False
VER,12.0,90.164,MEDIUM,1.0,False,False
VER,13.0,90.178,MEDIUM,1.0,False,False
VER,14.0,90.128,MEDIUM,1.0,False,False
VER,15.0,89.876,MEDIUM,1.0,False,False
VER,16.0,90.047,MEDIUM,1.0,False,False
VER,17.0,89.909,MEDIUM,1.0,False,False
VER,18.0,89.826,MEDIUM,1.0,False,False
VER,19.0,90.076,MEDIUM,1.0,False,False
VER,20.0,90.004,MEDIUM,1.0,False,False
VER,21.0,89.695,MEDIUM,1.0,False,False
VER,22.0,89.889,MEDIUM,1.0,False,False
VER,23.0,89.939,MEDIUM,1.0,False,False
VER,24.0,89.75,MEDIUM,1.0,False,False
VER,25.0,89.852,MEDIUM,1.0,False,False
VER,26.0,90.268,MEDIUM,1.0,False,False
VER,27.0,89.897,MEDIUM,1.0,False,False
VER,28.0,90.274,MEDIUM,1.0,False,False
VER,29.0,91.857,MEDIUM,1.0,True,False
VER,30.0,119.495,HARD,2.0,False,True
VER,31.0,88.088,HARD,2.0,False,False
VER,32.0,88.528,HARD,2.0,False,False
VER,33.0,88.333,HARD,2.0,False,False
VER,34.0,88.409,HARD,2.0,False,False
VER,35.0,89.111,HARD,2.0,False,False
VER,36.0,88.557,HARD,2.0,False,False
VER,37.0,88.413,HARD,2.0,False,False
VER,38.0,88.36,HARD,2.0,False,False
VER,39.0,88.296,HARD,2.0,False,False
VER,40.0,88.345,HARD,2.0,False,False
VER,41.0,88.439,HARD,2.0,False,False
VER,42.0,88.113,HARD,2.0,False,False
VER,43.0,88.089,HARD,2.0,False,False
VER,44.0,88.501,HARD,2.0,False,False
VER,45.0,88.067,HARD,2.0,False,False
VER,46.0,88.231,HARD,2.0,False,False
VER,47.0,88.304,HARD,2.0,False,False
VER,48.0,87.893,HARD,2.0,False,False
VER,49.0,87.927,HARD,2.0,False,False
VER,50.0,87.961,HARD,2.0,False,False
VER,51.0,87.82,HARD,2.0,False,False
VER,52.0,88.047,HARD,2.0,False,False
VER,53.0,88.064,HARD,2.0,False,False
VER,54.0,88.352,HARD,2.0,False,False
VER,55.0,87.821,HARD,2.0,False,False
VER,56.0,87.765,HARD,2.0,False,False
VER,57.0,88.174,HARD,2.0,False,False
VER,58.0,88.78,HARD,2.0,False,False
GAS,1.0,93.984,MEDIUM,1.0,False,False
GAS,2.0,109.76,MEDIUM,1.0,False,False
GAS,3.0,102.837,MEDIUM,1.0,False,False
GAS,4.0,89.406,MEDIUM,1.0,False,False
GAS,5.0,89.611,MEDIUM,1.0,False,False
GAS,6.0,90.014,MEDIUM,1.0,False,False
GAS,7.0,89.744,MEDIUM,1.0,False,False
GAS,8.0,89.732,MEDIUM,1.0,False,False
GAS,9.0,89.631,MEDIUM,1.0,False,False
GAS,10.0,90.127,MEDIUM,1.0,False,False
GAS,11.0,90.072,MEDIUM,1.0,False,False
GAS,12.0,90.174,MEDIUM,1.0,False,False
GAS,13.0,90.173,MEDIUM,1.0,False,False
GAS,14.0,92.241,MEDIUM,1.0,True,False
GAS,15.0,109.784,HARD,2.0,False,True
GAS,16.0,89.927,HARD,2.0,False,False
GAS,17.0,89.986,HARD,2.0,False,False
GAS,18.0,90.123,HARD,2.0,False,False
GAS,19.0,89.567,HARD,2.0,False,False
GAS,20.0,89.562,HARD,2.0,False,False
GAS,21.0,89.725,HARD,2.0,False,False
GAS,22.0,90.627,HARD,2.0,False,False
GAS,23.0,90.137,HARD,2.0,False,False
GAS,24.0,91.144,HARD,2.0,False,False
GAS,25.0,89.75,HARD,2.0,False,False
GAS,26.0,89.688,HARD,2.0,False,False
GAS,27.0,90.381,HARD,2.0,False,False
GAS,28.0,89.596,HARD,2.0,False,False
GAS,29.0,89.409,HARD,2.0,False,False
GAS,30.0,89.251,HARD,2.0,False,False
GAS,31.0,89.563,HARD,2.0,False,False
GAS,32.0,89.647,HARD,2.0,False,False
GAS,33.0,89.516,HARD,2.0,False,False
GAS,34.0,89.431,HARD,2.0,False,False
GAS,35.0,89.5,HARD,2.0,False,False
GAS,36.0,89.321,HARD,2.0,False,False
GAS,37.0,89.212,HARD,2.0,False,False
GAS,38.0,89.506,HARD,2.0,False,False
GAS,39.0,89.321,HARD,2.0,False,False
GAS,40.0,89.372,HARD,2.0,False,False
GAS,41.0,89.504,HARD,2.0,False,False
GAS,42.0,89.998,HARD,2.0,False,False
GAS,43.0,89.453,HARD,2.0,False,False
GAS,44.0,89.379,HARD,2.0,False,False
GAS,45.0,90.401,HARD,2.0,False,False
GAS,46.0,89.65,HARD,2.0,False,False
GAS,47.0,89.523,HARD,2.0,False,False
GAS,48.0,89.434,HARD,2.0,False,False
GAS,49.0,89.493,HARD,2.0,False,False
GAS,50.0,89.606,HARD,2.0,False,False
GAS,51.0,89.571,HARD,2.0,False,False
GAS,52.0,89.65,HARD,2.0,False,False
GAS,53.0,89.676,HARD,2.0,False,False
GAS,54.0,89.447,HARD,2.0,False,False
GAS,55.0,90.172,HARD,2.0,False,False
GAS,56.0,89.541,HARD,2.0,False,False
GAS,57.0,89.936,HARD,2.0,False,False
GAS,58.0,90.865,HARD,2.0,False,False
ALO,1.0,96.166,MEDIUM,1.0,False,False
ALO,2.0,110.156,MEDIUM,1.0,False,False
ALO,3.0,102.24,MEDIUM,1.0,False,False
ALO,4.0,89.434,MEDIUM,1.0,False,False
ALO,5.0,90.084,MEDIUM,1.0,False,False
ALO,6.0,89.829,MEDIUM,1.0,False,False
ALO,7.0,89.785,MEDIUM,1.0,False,False
ALO,8.0,90.032,MEDIUM,1.0,False,False
ALO,9.0,90.085,MEDIUM,1.0,False,False
ALO,10.0,91.708,MEDIUM,1.0,False,False
ALO,11.0,91.088,MEDIUM,1.0,False,False
ALO,12.0,91.821,MEDIUM,1.0,False,False
ALO,13.0,93.244,MEDIUM,1.0,True,False
ALO,14.0,111.792,HARD,2.0,False,True
ALO,15.0,89.756,HARD,2.0,False,False
ALO,16.0,89.907,HARD,2.0,False,False
